epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,986.57,0.35388,0.26946,0.9197,0.99016,0.96093,0.98009,0.89068,0.40392,0.23813,0.8363,5.71106e-05,5.71106e-05,5.71106e-05
88,1974.9,0.35472,0.26741,0.91654,0.99045,0.96106,0.98027,0.89067,0.40399,0.23837,0.83632,5.07115e-05,5.07115e-05,5.07115e-05
89,2963.83,0.35432,0.26603,0.91511,0.99025,0.96116,0.98026,0.89059,0.40392,0.23789,0.83631,4.47606e-05,4.47606e-05,4.47606e-05
90,3952.92,0.35385,0.26701,0.91559,0.98943,0.96074,0.98034,0.89092,0.40371,0.23813,0.83624,3.9264e-05,3.9264e-05,3.9264e-05
91,4932.91,0.35793,0.21494,0.83656,0.99025,0.96024,0.98019,0.89081,0.4038,0.23811,0.83613,3.4227e-05,3.4227e-05,3.4227e-05
92,5912.07,0.35132,0.20981,0.83132,0.98898,0.96118,0.98013,0.89128,0.40398,0.23774,0.83622,2.96546e-05,2.96546e-05,2.96546e-05
93,6891.18,0.34867,0.20796,0.8282,0.98869,0.9608,0.98006,0.89119,0.40451,0.23784,0.83632,2.55513e-05,2.55513e-05,2.55513e-05
94,7870.06,0.35203,0.20854,0.83299,0.98764,0.96109,0.98007,0.89131,0.40431,0.23743,0.836,2.19212e-05,2.19212e-05,2.19212e-05
95,8849.09,0.34908,0.20546,0.83015,0.98746,0.9608,0.98007,0.89145,0.40466,0.2377,0.83583,1.87678e-05,1.87678e-05,1.87678e-05
96,9827.85,0.34799,0.20527,0.83019,0.98836,0.96002,0.98003,0.89138,0.40491,0.23756,0.83603,1.60943e-05,1.60943e-05,1.60943e-05
97,10807.9,0.34556,0.20317,0.82941,0.98774,0.9609,0.98,0.89038,0.40533,0.23732,0.83626,1.39032e-05,1.39032e-05,1.39032e-05
98,11789,0.34655,0.20393,0.83099,0.98661,0.96294,0.98014,0.89049,0.40502,0.23748,0.83614,1.21968e-05,1.21968e-05,1.21968e-05
99,12770.4,0.34572,0.2026,0.82786,0.98661,0.96262,0.9796,0.89106,0.40535,0.23741,0.83625,1.09768e-05,1.09768e-05,1.09768e-05
100,13750,0.34399,0.20119,0.8249,0.98677,0.96164,0.97965,0.89114,0.40526,0.2373,0.83624,1.02443e-05,1.02443e-05,1.02443e-05
